,time,open,high,low,close,tick_volume,spread
0,2023-08-11 04:00:00,1.09873,1.09897,1.09869,1.09886,346,16
1,2023-08-11 04:15:00,1.09887,1.09908,1.09873,1.09885,417,16
2,2023-08-11 04:30:00,1.09885,1.09905,1.09864,1.09897,700,16
3,2023-08-11 04:45:00,1.09899,1.0997,1.09896,1.09936,653,16
4,2023-08-11 05:00:00,1.09935,1.09935,1.09899,1.0991900000000001,383,16
5,2023-08-11 05:15:00,1.0991900000000001,1.09925,1.09861,1.09865,360,16
6,2023-08-11 05:30:00,1.09867,1.09888,1.09849,1.09886,322,16
7,2023-08-11 05:45:00,1.09884,1.09896,1.09875,1.09878,314,16
8,2023-08-11 06:00:00,1.09879,1.09909,1.09867,1.09889,298,16
9,2023-08-11 06:15:00,1.09886,1.09899,1.09876,1.09897,312,16
10,2023-08-11 06:30:00,1.09899,1.09908,1.09849,1.09859,328,16
11,2023-08-11 06:45:00,1.0986,1.09871,1.09852,1.09861,261,16
12,2023-08-11 07:00:00,1.09863,1.09869,1.0984,1.09843,255,16
13,2023-08-11 07:15:00,1.09844,1.0985800000000001,1.09838,1.0984,225,16
14,2023-08-11 07:30:00,1.09839,1.09878,1.09832,1.09878,363,16
15,2023-08-11 07:45:00,1.09876,1.09897,1.09828,1.09845,315,16
16,2023-08-11 08:00:00,1.09844,1.09873,1.09832,1.09868,345,16
17,2023-08-11 08:15:00,1.09865,1.09895,1.0986,1.09879,304,16
18,2023-08-11 08:30:00,1.0988,1.09898,1.09865,1.09877,406,16
19,2023-08-11 08:45:00,1.09875,1.09929,1.09868,1.09924,496,16
20,2023-08-11 09:00:00,1.09921,1.09964,1.09897,1.09953,1159,16
21,2023-08-11 09:15:00,1.09954,1.10015,1.09947,1.09964,866,16
22,2023-08-11 09:30:00,1.0996299999999999,1.09974,1.09908,1.0993,774,16
23,2023-08-11 09:45:00,1.0993,1.09942,1.09888,1.09901,787,16
24,2023-08-11 10:00:00,1.099,1.09949,1.09868,1.0991900000000001,1199,16
25,2023-08-11 10:15:00,1.0991900000000001,1.09955,1.09906,1.09953,915,16
26,2023-08-11 10:30:00,1.09953,1.09981,1.09929,1.09964,805,16
27,2023-08-11 10:45:00,1.09967,1.09968,1.0991,1.09916,809,16
28,2023-08-11 11:00:00,1.09915,1.09961,1.09894,1.09951,1050,16
29,2023-08-11 11:15:00,1.09949,1.09989,1.09929,1.09953,865,16
30,2023-08-11 11:30:00,1.09954,1.10025,1.09894,1.10013,1114,16
31,2023-08-11 11:45:00,1.10018,1.1002,1.09972,1.09987,953,16
32,2023-08-11 12:00:00,1.09985,1.09998,1.09944,1.09958,944,16
33,2023-08-11 12:15:00,1.09958,1.09961,1.09844,1.09853,974,16
34,2023-08-11 12:30:00,1.09856,1.09898,1.09795,1.0981,961,16
35,2023-08-11 12:45:00,1.09813,1.09819,1.09754,1.09766,1190,16
36,2023-08-11 13:00:00,1.09766,1.09864,1.09756,1.09859,868,16
37,2023-08-11 13:15:00,1.0986,1.09917,1.09851,1.0991,754,16
38,2023-08-11 13:30:00,1.09913,1.09941,1.09907,1.09932,794,16
39,2023-08-11 13:45:00,1.09931,1.09954,1.09897,1.09923,818,16
40,2023-08-11 14:00:00,1.09925,1.0995,1.09899,1.09908,717,16
41,2023-08-11 14:15:00,1.09908,1.09942,1.09888,1.09931,602,16
42,2023-08-11 14:30:00,1.0993,1.10017,1.0991,1.10001,931,16
43,2023-08-11 14:45:00,1.10002,1.1001,1.09947,1.09965,1069,16
44,2023-08-11 15:00:00,1.09967,1.10038,1.09959,1.09981,1072,16
45,2023-08-11 15:15:00,1.09983,1.10041,1.09946,1.10015,1023,16
46,2023-08-11 15:30:00,1.10015,1.10015,1.09729,1.0981,3250,16
47,2023-08-11 15:45:00,1.09812,1.09818,1.09651,1.09674,2362,16
48,2023-08-11 16:00:00,1.09676,1.09805,1.09647,1.09706,2001,16
49,2023-08-11 16:15:00,1.09707,1.09715,1.09598,1.09637,1757,16
50,2023-08-11 16:30:00,1.09639,1.09712,1.09601,1.09634,2244,16
51,2023-08-11 16:45:00,1.09633,1.09638,1.09542,1.09617,1767,16
52,2023-08-11 17:00:00,1.09661,1.09771,1.09567,1.09629,3060,16
53,2023-08-11 17:15:00,1.09629,1.09803,1.0961,1.09758,2181,16
54,2023-08-11 17:30:00,1.09758,1.09803,1.09652,1.09789,2187,16
55,2023-08-11 17:45:00,1.09789,1.0983,1.09691,1.09715,2190,16
56,2023-08-11 18:00:00,1.09715,1.09749,1.09605,1.09608,1686,16
57,2023-08-11 18:15:00,1.0961,1.09629,1.09579,1.09583,1182,16
58,2023-08-11 18:30:00,1.09581,1.09594,1.09511,1.09523,873,16
59,2023-08-11 18:45:00,1.09523,1.09559,1.0950199999999999,1.09554,1113,16
60,2023-08-11 19:00:00,1.09556,1.09625,1.09554,1.09621,1123,16
61,2023-08-11 19:15:00,1.09622,1.0964,1.09563,1.09595,768,16
62,2023-08-11 19:30:00,1.09594,1.09605,1.09511,1.09527,622,16
63,2023-08-11 19:45:00,1.09527,1.09527,1.09449,1.09459,739,16
64,2023-08-11 20:00:00,1.09458,1.09494,1.09445,1.09478,857,16
65,2023-08-11 20:15:00,1.09479,1.09548,1.09472,1.09528,546,16
66,2023-08-11 20:30:00,1.09529,1.09529,1.0943,1.0944,619,16
67,2023-08-11 20:45:00,1.0944099999999999,1.09448,1.09422,1.09442,629,16
68,2023-08-11 21:00:00,1.09445,1.09469,1.09426,1.09437,662,16
69,2023-08-11 21:15:00,1.09437,1.09481,1.09436,1.09472,797,16
70,2023-08-11 21:30:00,1.09472,1.09497,1.09469,1.09486,456,16
71,2023-08-11 21:45:00,1.09485,1.09507,1.09484,1.09499,624,16
72,2023-08-11 22:00:00,1.095,1.09503,1.0944099999999999,1.09459,547,16
73,2023-08-11 22:15:00,1.09459,1.0946,1.09425,1.0946,657,16
74,2023-08-11 22:30:00,1.09463,1.09479,1.09452,1.09462,643,16
75,2023-08-11 22:45:00,1.09461,1.09479,1.09454,1.09459,579,16
76,2023-08-11 23:00:00,1.09463,1.09464,1.09447,1.09448,433,16
77,2023-08-11 23:15:00,1.09449,1.09472,1.09437,1.09469,244,16
78,2023-08-11 23:30:00,1.09467,1.09482,1.0946,1.0948,180,16
79,2023-08-11 23:45:00,1.0948,1.09484,1.0941,1.09443,373,16
80,2023-08-14 00:00:00,1.09496,1.09503,1.09493,1.09494,20,70
81,2023-08-14 00:15:00,1.09495,1.09499,1.09464,1.09482,44,52
82,2023-08-14 00:30:00,1.09482,1.0949,1.09463,1.09472,127,61
83,2023-08-14 00:45:00,1.09473,1.09485,1.09447,1.09461,349,36
84,2023-08-14 01:00:00,1.09458,1.09496,1.09435,1.09453,191,16
85,2023-08-14 01:15:00,1.09455,1.09455,1.0943,1.0943100000000001,361,16
86,2023-08-14 01:30:00,1.09432,1.09435,1.09409,1.0941,265,16
87,2023-08-14 01:45:00,1.09406,1.0942,1.09393,1.09416,173,16
88,2023-08-14 02:00:00,1.09414,1.0943,1.09399,1.09419,175,16
89,2023-08-14 02:15:00,1.0942,1.09442,1.09419,1.0943,177,16
90,2023-08-14 02:30:00,1.0943100000000001,1.09436,1.09418,1.0943100000000001,143,16
91,2023-08-14 02:45:00,1.09433,1.09438,1.09424,1.09425,160,16
92,2023-08-14 03:00:00,1.09426,1.0946,1.094,1.09422,542,16
93,2023-08-14 03:15:00,1.09423,1.09423,1.09391,1.09395,468,16
94,2023-08-14 03:30:00,1.09392,1.09405,1.09353,1.09366,549,16
95,2023-08-14 03:45:00,1.09364,1.09375,1.09353,1.09363,511,16
96,2023-08-14 04:00:00,1.09361,1.09401,1.09348,1.09386,677,16
97,2023-08-14 04:15:00,1.09384,1.0939,1.09337,1.09352,767,16
98,2023-08-14 04:30:00,1.09353,1.09361,1.09303,1.0936,801,16
99,2023-08-14 04:45:00,1.0936,1.09362,1.09329,1.09351,756,16
100,2023-08-14 05:00:00,1.09352,1.09374,1.09327,1.09338,637,16
101,2023-08-14 05:15:00,1.09337,1.0934,1.09305,1.09315,600,16
102,2023-08-14 05:30:00,1.09314,1.09341,1.09304,1.09329,510,16
